Id,Type,Duration
1,SerialTask,0:13:20.680888
2,ParallelTask,0:05:59.290344
3,OpenChannelTask,0:05:58.852917
4,OpenChannelTask,0:05:59.285089
5,ParallelTask,0:00:00.059188
6,AssertTask,0:00:00.016254
7,AssertTask,0:00:00.053212
8,AssertTask,0:00:00.010399
9,AssertTask,0:00:00.007388
10,SerialTask,0:00:01.808707
11,TransferTask,0:00:01.807784
12,SerialTask,0:00:05.168614
13,TransferTask,0:00:00.165136
14,WaitTask,0:00:05.001567
15,ParallelTask,0:00:00.022193
16,AssertTask,0:00:00.017547
17,AssertTask,0:00:00.015468
18,AssertTask,0:00:00.013219
19,AssertTask,0:00:00.010519
20,SerialTask,0:00:16.421652
21,TransferTask,0:00:01.833624
22,TransferTask,0:00:01.486908
23,TransferTask,0:00:01.483569
24,TransferTask,0:00:01.547950
25,TransferTask,0:00:01.955471
26,TransferTask,0:00:01.467103
27,TransferTask,0:00:01.443341
28,TransferTask,0:00:02.184089
29,TransferTask,0:00:01.450663
30,TransferTask,0:00:01.563591
31,WaitTask,0:00:05.000635
32,ParallelTask,0:00:00.025881
33,AssertTask,0:00:00.024053
34,AssertTask,0:00:00.023121
35,AssertTask,0:00:00.018120
36,AssertTask,0:00:00.017095
37,SerialTask,0:00:16.512311
38,TransferTask,0:00:02.115724
39,TransferTask,0:00:01.615805
40,TransferTask,0:00:01.439929
41,TransferTask,0:00:02.042615
42,TransferTask,0:00:01.471608
43,TransferTask,0:00:01.416030
44,TransferTask,0:00:01.619123
45,TransferTask,0:00:01.872045
46,TransferTask,0:00:01.498944
47,TransferTask,0:00:01.415580
48,WaitTask,0:00:20.000814
49,ParallelTask,0:00:00.021358
50,AssertTask,0:00:00.016010
51,AssertTask,0:00:00.014822
52,AssertTask,0:00:00.013905
53,AssertTask,0:00:00.009290
54,ParallelTask,0:06:10.201900
55,OpenChannelTask,0:06:09.998009
56,OpenChannelTask,0:06:10.198903
57,ParallelTask,0:00:00.062079
58,AssertTask,0:00:00.013775
59,AssertTask,0:00:00.058875
60,AssertTask,0:00:00.022369
61,AssertTask,0:00:00.012620
62,SerialTask,0:00:01.763273
63,TransferTask,0:00:01.762405
64,SerialTask,0:00:04.308620
65,TransferTask,0:00:04.307445
66,SerialTask,0:00:00.002614
67,DepositTask,0:00:00.000405
