MainTask,SubTask,Duration,Hops
SerialTask(#1),,0:13:20.680888,
ParallelTask(#2),,0:05:59.290344,
OpenChannelTask(#3),,0:05:58.852917,
OpenChannelTask(#4),,0:05:59.285089,
OpenChannelTask(#4),Subtasks(#4),0:05:59.285089,
ParallelTask(#5),,0:00:00.059188,
AssertTask(#6),,0:00:00.016254,
AssertTask(#7),,0:00:00.053212,
AssertTask(#8),,0:00:00.010399,
AssertTask(#9),,0:00:00.007388,
AssertTask(#9),Subtasks(#9),0:00:00.007388,
SerialTask(#10),,0:00:01.808707,
TransferTask(#11),,0:00:01.807784,2
TransferTask(#11),Subtasks(#11),0:00:01.807784,
SerialTask(#12),,0:00:05.168614,
TransferTask(#13),,0:00:00.165136,2
TransferTask(#13),Subtasks(#13),0:00:00.165136,
WaitTask(#14),,0:00:05.001567,
WaitTask(#14),Subtasks(#14),0:00:05.001567,
ParallelTask(#15),,0:00:00.022193,
AssertTask(#16),,0:00:00.017547,
AssertTask(#17),,0:00:00.015468,
AssertTask(#18),,0:00:00.013219,
AssertTask(#19),,0:00:00.010519,
AssertTask(#19),Subtasks(#19),0:00:00.010519,
SerialTask(#20),,0:00:16.421652,
TransferTask(#21),,0:00:01.833624,2
TransferTask(#21),Subtasks(#21),0:00:01.833624,
TransferTask(#22),,0:00:01.486908,2
TransferTask(#22),Subtasks(#22),0:00:01.486908,
TransferTask(#23),,0:00:01.483569,2
TransferTask(#23),Subtasks(#23),0:00:01.483569,
TransferTask(#24),,0:00:01.547950,2
TransferTask(#24),Subtasks(#24),0:00:01.547950,
TransferTask(#25),,0:00:01.955471,2
TransferTask(#25),Subtasks(#25),0:00:01.955471,
TransferTask(#26),,0:00:01.467103,2
TransferTask(#26),Subtasks(#26),0:00:01.467103,
TransferTask(#27),,0:00:01.443341,2
TransferTask(#27),Subtasks(#27),0:00:01.443341,
TransferTask(#28),,0:00:02.184089,2
TransferTask(#28),Subtasks(#28),0:00:02.184089,
TransferTask(#29),,0:00:01.450663,2
TransferTask(#29),Subtasks(#29),0:00:01.450663,
TransferTask(#30),,0:00:01.563591,2
TransferTask(#30),Subtasks(#30),0:00:01.563591,
WaitTask(#31),,0:00:05.000635,
WaitTask(#31),Subtasks(#31),0:00:05.000635,
ParallelTask(#32),,0:00:00.025881,
AssertTask(#33),,0:00:00.024053,
AssertTask(#34),,0:00:00.023121,
AssertTask(#35),,0:00:00.018120,
AssertTask(#36),,0:00:00.017095,
AssertTask(#36),Subtasks(#36),0:00:00.017095,
SerialTask(#37),,0:00:16.512311,
TransferTask(#38),,0:00:02.115724,2
TransferTask(#38),Subtasks(#38),0:00:02.115724,
TransferTask(#39),,0:00:01.615805,2
TransferTask(#39),Subtasks(#39),0:00:01.615805,
TransferTask(#40),,0:00:01.439929,2
TransferTask(#40),Subtasks(#40),0:00:01.439929,
TransferTask(#41),,0:00:02.042615,2
TransferTask(#41),Subtasks(#41),0:00:02.042615,
TransferTask(#42),,0:00:01.471608,2
TransferTask(#42),Subtasks(#42),0:00:01.471608,
TransferTask(#43),,0:00:01.416030,2
TransferTask(#43),Subtasks(#43),0:00:01.416030,
TransferTask(#44),,0:00:01.619123,2
TransferTask(#44),Subtasks(#44),0:00:01.619123,
TransferTask(#45),,0:00:01.872045,2
TransferTask(#45),Subtasks(#45),0:00:01.872045,
TransferTask(#46),,0:00:01.498944,2
TransferTask(#46),Subtasks(#46),0:00:01.498944,
TransferTask(#47),,0:00:01.415580,2
TransferTask(#47),Subtasks(#47),0:00:01.415580,
WaitTask(#48),,0:00:20.000814,
WaitTask(#48),Subtasks(#48),0:00:20.000814,
ParallelTask(#49),,0:00:00.021358,
AssertTask(#50),,0:00:00.016010,
AssertTask(#51),,0:00:00.014822,
AssertTask(#52),,0:00:00.013905,
AssertTask(#53),,0:00:00.009290,
AssertTask(#53),Subtasks(#53),0:00:00.009290,
ParallelTask(#54),,0:06:10.201900,
OpenChannelTask(#55),,0:06:09.998009,
OpenChannelTask(#56),,0:06:10.198903,
OpenChannelTask(#56),Subtasks(#56),0:06:10.198903,
ParallelTask(#57),,0:00:00.062079,
AssertTask(#58),,0:00:00.013775,
AssertTask(#59),,0:00:00.058875,
AssertTask(#60),,0:00:00.022369,
AssertTask(#61),,0:00:00.012620,
AssertTask(#61),Subtasks(#61),0:00:00.012620,
SerialTask(#62),,0:00:01.763273,
TransferTask(#63),,0:00:01.762405,2
TransferTask(#63),Subtasks(#63),0:00:01.762405,
SerialTask(#64),,0:00:04.308620,
TransferTask(#65),,0:00:04.307445,2
TransferTask(#65),Subtasks(#65),0:00:04.307445,
SerialTask(#66),,0:00:00.002614,
DepositTask(#67),,0:00:00.000405,
DepositTask(#67),Subtasks(#67),0:00:00.000405,
