MainTask,SubTask,Duration,Hops
SerialTask(#1),,0:07:08.818206,
WaitTask(#2),,0:00:20.001691,
WaitTask(#2),Subtasks(#2),0:00:20.001691,
ParallelTask(#3),,0:01:27.220993,
OpenChannelTask(#4),,0:01:27.134345,
OpenChannelTask(#5),,0:01:27.213956,
OpenChannelTask(#5),Subtasks(#5),0:01:27.213956,
WaitTask(#6),,0:00:10.000890,
WaitTask(#6),Subtasks(#6),0:00:10.000890,
ParallelTask(#7),,0:04:32.240764,
DepositTask(#8),,0:04:32.239421,
DepositTask(#9),,0:04:31.893935,
DepositTask(#9),Subtasks(#9),0:04:31.893935,
SerialTask(#10),,0:00:29.332855,
TransferTask(#11),,0:00:01.808288,1
TransferTask(#11),Subtasks(#11),0:00:01.808288,
TransferTask(#12),,0:00:01.598926,1
TransferTask(#12),Subtasks(#12),0:00:01.598926,
TransferTask(#13),,0:00:01.289580,1
TransferTask(#13),Subtasks(#13),0:00:01.289580,
TransferTask(#14),,0:00:01.674131,1
TransferTask(#14),Subtasks(#14),0:00:01.674131,
TransferTask(#15),,0:00:01.723504,1
TransferTask(#15),Subtasks(#15),0:00:01.723504,
TransferTask(#16),,0:00:01.694958,1
TransferTask(#16),Subtasks(#16),0:00:01.694958,
TransferTask(#17),,0:00:01.279101,1
TransferTask(#17),Subtasks(#17),0:00:01.279101,
TransferTask(#18),,0:00:01.425904,1
TransferTask(#18),Subtasks(#18),0:00:01.425904,
TransferTask(#19),,0:00:01.569943,1
TransferTask(#19),Subtasks(#19),0:00:01.569943,
TransferTask(#20),,0:00:01.233411,1
TransferTask(#20),Subtasks(#20),0:00:01.233411,
TransferTask(#21),,0:00:01.565448,1
TransferTask(#21),Subtasks(#21),0:00:01.565448,
TransferTask(#22),,0:00:01.265303,1
TransferTask(#22),Subtasks(#22),0:00:01.265303,
TransferTask(#23),,0:00:01.547462,1
TransferTask(#23),Subtasks(#23),0:00:01.547462,
TransferTask(#24),,0:00:01.279344,1
TransferTask(#24),Subtasks(#24),0:00:01.279344,
TransferTask(#25),,0:00:01.439040,1
TransferTask(#25),Subtasks(#25),0:00:01.439040,
TransferTask(#26),,0:00:01.265159,1
TransferTask(#26),Subtasks(#26),0:00:01.265159,
TransferTask(#27),,0:00:01.239853,1
TransferTask(#27),Subtasks(#27),0:00:01.239853,
TransferTask(#28),,0:00:01.527433,1
TransferTask(#28),Subtasks(#28),0:00:01.527433,
TransferTask(#29),,0:00:01.330712,1
TransferTask(#29),Subtasks(#29),0:00:01.330712,
TransferTask(#30),,0:00:01.567460,1
TransferTask(#30),Subtasks(#30),0:00:01.567460,
WaitTask(#31),,0:00:10.001167,
WaitTask(#31),Subtasks(#31),0:00:10.001167,
ParallelTask(#32),,0:00:00.013335,
AssertTask(#33),,0:00:00.011079,
AssertTask(#34),,0:00:00.009253,
AssertTask(#34),Subtasks(#34),0:00:00.009253,
